price_in_aud,brand,year,made_in,body_type,engine_power_hp,torque_nm,no_of_cylinders,transmission_type,gear_box_speed,steering_type,kerb_weight_lbs,front_brake,rear_brake,mileage_in_city_mpg,mileage_on_highway_mpg,fuel_type,seating_capacity,fuel_tank_capacity_litres,no_of_doors
72187.0,Lexus,2022,United States,sedan,203.0,249.50400000000002,4.0,automatic,8,automatic,3780.0,disc,disc,25.0,34.0,gasoline,5,60.261,4
65664.0,Lexus,2022,United States,sedan,203.0,249.50400000000002,4.0,automatic,8,power,3780.0,disc,disc,25.0,34.0,gasoline,5,60.261,4
58968.0,Lexus,2022,United States,sedan,203.0,249.50400000000002,4.0,automatic,8,power,3780.0,disc,disc,17.0,22.0,gasoline,5,60.261,4
145440.0,Lexus,2022,United States,suv,409.0,649.524,4.0,automatic,10,power,5665.0,disc,disc,17.0,22.0,premium,7,79.96900000000001,4
59040.0,Lexus,2022,Japan,suv,203.0,249.50400000000002,4.0,automatic,8,power,3660.0,disc,disc,26.0,33.0,gasoline,5,68.22,4
145570.0,Lexus,2022,Japan,sedan,472.0,535.62,4.0,automatic,8,rack & pinion,3781.0,disc,disc,16.0,24.0,gasoline,5,68.22,4
114768.0,Lexus,2022,Japan,sedan,416.0,599.3520000000001,4.0,automatic,10,rack & pinion,4839.0,disc,disc,18.0,29.0,gasoline,5,68.22,4
83030.0,Lexus,2022,Canada,suv,308.0,334.932,6.0,automatic,8,automatic,4905.0,disc,disc,29.0,31.0,hybrid,6,65.188,4
77861.0,Lexus,2022,Canada,suv,308.0,334.932,6.0,automatic,8,automatic,4740.0,disc,disc,31.0,28.0,hybrid,5,65.188,4
74707.0,Lexus,2022,Canada,suv,259.0,334.932,6.0,automatic,8,automatic,4740.0,disc,disc,31.0,28.0,hybrid,5,65.188,4
74520.0,Lexus,2022,Canada,suv,308.0,334.932,6.0,automatic,8,automatic,4740.0,disc,disc,31.0,28.0,hybrid,5,65.188,4
66125.0,Lexus,2023,Canada,suv,275.0,429.85200000000003,4.0,automatic,8,automatic,4222.0,disc,disc,20.0,27.0,gasoline,5,72.768,4
67637.0,Lexus,2022,Canada,suv,295.0,362.052,6.0,automatic,8,automatic,4387.0,disc,disc,19.0,26.0,gasoline,5,72.768,4
80352.0,Lexus,2022,Canada,suv,290.0,356.62800000000004,6.0,automatic,8,automatic,4464.0,disc,disc,19.0,26.0,gasoline,7,72.768,4
76104.0,Lexus,2022,Canada,suv,295.0,362.052,6.0,automatic,8,automatic,4387.0,disc,disc,19.0,26.0,gasoline,5,72.768,4
74088.0,Lexus,2022,Canada,suv,295.0,362.052,6.0,automatic,8,automatic,4222.0,disc,disc,20.0,27.0,gasoline,5,72.768,4
72648.0,Lexus,2022,Canada,suv,295.0,362.052,6.0,automatic,8,automatic,4387.0,disc,disc,19.0,26.0,gasoline,5,72.768,4
70632.0,Lexus,2022,Canada,suv,295.0,362.052,6.0,automatic,8,automatic,4222.0,disc,disc,20.0,27.0,gasoline,5,72.768,4
181440.0,Lexus,2022,United States,suv,409.0,650.88,4.0,automatic,10,power,3975.0,disc,disc,17.0,22.0,premium,4,109.91,4
148320.0,Lexus,2022,United States,suv,409.0,650.88,4.0,automatic,10,power,3975.0,disc,disc,17.0,22.0,premium,7,109.91,4
145440.0,Lexus,2022,United States,suv,409.0,650.88,4.0,automatic,10,power,3975.0,disc,disc,17.0,22.0,premium,7,109.91,4
136800.0,Lexus,2022,United States,suv,409.0,650.88,4.0,automatic,10,power,3975.0,disc,disc,17.0,22.0,premium,7,109.91,4
125136.0,Lexus,2022,United States,suv,409.0,650.88,4.0,automatic,10,power,3975.0,disc,disc,17.0,22.0,premium,5,109.91,4
59112.0,Lexus,2022,Japan,suv,240.0,226.45200000000003,4.0,automatic,8,power,4080.0,disc,disc,41.0,37.0,gasoline,5,54.955,4
93787.0,Lexus,2022,United States,suv,301.0,446.124,4.0,automatic,6,power,5198.0,disc,disc,15.0,19.0,premium,7,87.17,5
79805.0,Lexus,2022,United States,suv,301.0,446.124,4.0,automatic,6,power,3975.0,disc,disc,15.0,19.0,premium,7,72.01,5
71971.0,Lexus,2022,United States,sedan,203.0,249.50400000000002,4.0,automatic,8,automatic,3780.0,disc,disc,25.0,34.0,gasoline,5,60.261,4
71971.0,Lexus,2022,United States,sedan,302.0,362.052,6.0,automatic,8,automatic,3690.0,disc,disc,22.0,32.0,gasoline,5,60.261,4
